,Name,Family,Genus,Order,Suitable Soil pH,Watering Frequency,Placement,Plant pH
0,Jasmine,Oleaceae,Jasminum; L.,Lamiales,4.9-8.3,regularly (2-3 per week),Outdoor,6.6
1,Curcuma caesia,Zingiberaceae,Curcuma,Zingiberales,4.5-6.5,regularly (2 per week),Outdoor,5.5
2,Curry Tree,Rutaceae,Murraya,Sapindales,5.6-6,regularly (2 per week),Outdoor,5.8
3,Indian gooseberry,Phyllanthaceae,Phyllanthus,Malpighiales,6.5-9.5,regularly (2-3 per week),Outdoor,8.0
4,Hibiscus,Malvaceae,Hibiscus,Malvales,5.5-6.5,regularly (1-2 per week),Outdoor,6.0
5,Rose apple,Myrtaceae,Syzygium,Myrtales,5.5-6.5,regularly (1-2 per week),Outdoor,6.0
6,Passiflora incarnata (Purple),Passifloraceae,Passiflora,Malpighiales,6.1-7.5,regularly (1-2 per week),Outdoor,6.8
7,White-fleshed pitahaya,Cactaceae,Selenicereus,Caryophyllales,5.5-6.5,regularly (1-2 per week),Outdoor,6.0
8,Chrysanthemums,Asteraceae,Chrysanthemum,Asterales,6.5-7.0,regularly (2-3 per week),Outdoor,6.0
9,Mentha,Mints,Mentha,Lamiales,6.0-7.5,regularly (2-3 per week),Outdoor,6.7
10,Sapodilla,Sapotaceae,Manilkara,Heathers and allies,6.0-8.0,regularly (1-2 per week),Outdoor,7.0
11,Snake gourd,Cucurbitaceae,Trichosanthes,Cucurbitales,6.0-7.0,regularly (2-3 per week),Outdoor,6.5
12,Key lime,Rutaceae,Citrus,Sapindales,5.5-7.5,regularly (2-3 per week),Outdoor,6.5
13,Cucumber,Cucurbitaceae,Cucumis,Cucurbitales,6.0-8.5,regularly (2-3 per week),Outdoor,7.2
14,Trailing arbutus,Ericaceae,Epigaea,Heathers and allies,6.1-6.8,regularly (2-3 per week),Outdoor,6.5
15,Betel,Piperaceae,Pepper plants,Piperales,5.6-8.2,regularly (2-3 per week),Outdoor,7.2
16,Wild sweetsop,Annonaceae,Annona reticulata,Magnoliales,5.0-8.0,regularly (2-3 per week),Outdoor,6.9
17,Jack tree,Moraceae,Artocarpus,Rosales,6.0-6.5,regularly (2-3 per week),Outdoor,6.5
18,Cymbopogon citratus,Poaceae,Fress Lemongrass,Poales,5.0-5.8,regularly (2-3 per week),Outdoor,6.2
