,Name,Family,Genus,Order,Plant pH,Suitable Soil pH,Placement,Watering Frequency,Region,Img url
0,Jasmine,Oleaceae,Jasminum,Lamiales,6.6,4.9-8.3,Outdoor,regularly (2-3 per week),Asia,https://media.istockphoto.com/id/1134069126/es/foto/rama-de-jazm%C3%ADn-flores-aisladas-sobre-fondo-blanco.jpg?s=612x612&w=0&k=20&c=kaMKhijyq8SMB6qksaZJAX8IzzsTtLs86a49tZfvv7g=
1,Curcuma caesia,Zingiberaceae,Curcuma,Zingiberales,5.5,4.5-6.5,Outdoor,regularly (2 per week),Asia,http://www.flowersofindia.net/extrapics/Black%20Turmeric-1.jpg
2,Curry Tree,Rutaceae,Murraya,Sapindales,5.8,5.6-6.3,Outdoor,regularly (2 per week),Asia,https://www.flowerpower.com.au/media/catalog/product/cache/bdcf0022850627d2b6422c66929c11b7/9/0/9021900140.jpg
3,Indian gooseberry,Phyllanthaceae,Phyllanthus,Malpighiales,8.0,6.5-9.5,Outdoor,regularly (2-3 per week),Asia,https://media.istockphoto.com/id/628504340/es/foto/la-baya-de-la-espinosa-india-crece-en-el-%C3%A1rbol.jpg?s=612x612&w=is&k=20&c=lppnbyw24y4z4pAzrTBiB-Ha5U47rcHQDHSw8E47FGY=
4,Hibiscus,Malvaceae,Hibiscus,Malvales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),Asia,https://www.decoalive.com/wp-content/uploads/2021/05/hibiscus-rosa-sinensis.jpg
5,Rose apple,Myrtaceae,Syzygium,Myrtales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Wax_apple2.jpg/220px-Wax_apple2.jpg
6,Passiflora incarnata (Purple),Passifloraceae,Passiflora,Malpighiales,6.8,6.1-7.5,Outdoor,regularly (1-2 per week),North America,"https://m.media-amazon.com/images/I/71-cJXXSaWL._AC_UF1000,1000_QL80_.jpg"
7,White-fleshed pitahaya,Cactaceae,Selenicereus,Caryophyllales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),South America,https://worldofsucculents.com/wp-content/uploads/2013/12/Hylocereus-undatus-Dragon-Fruit3-450x338.jpg
8,Chrysanthemums,Asteraceae,Chrysanthemum,Asterales,6.0,6.5-7.0,Outdoor,regularly (2-3 per week),Asia,https://www.gardenia.net/storage/app/public/guides/detail/lYJGwwvVorBHXJk1zhYmp4RTJEu1j3AQTvb8bJXa.webp
9,Mentha,Mints,Mentha,Lamiales,6.7,6.0-7.5,Outdoor,regularly (2-3 per week),Europe,https://topfarma.es/wp-content/uploads/2022/08/art-menta-propiedades.png
10,Sapodilla,Sapotaceae,Manilkara,Heathers and allies,7.0,6.0-8.0,Outdoor,regularly (1-2 per week),North America,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/%E0%B4%B8%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B5%8B%E0%B4%9F%E0%B5%8D%E0%B4%9F.jpg/1200px-%E0%B4%B8%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B5%8B%E0%B4%9F%E0%B5%8D%E0%B4%9F.jpg
11,Snake gourd,Cucurbitaceae,Trichosanthes,Cucurbitales,6.5,6.0-7.0,Outdoor,regularly (2-3 per week),Asia,https://i.etsystatic.com/28764876/r/il/785328/3656949134/il_570xN.3656949134_mr2r.jpg
12,Key lime,Rutaceae,Citrus,Sapindales,6.5,5.5-7.5,Outdoor,regularly (2-3 per week),North America,https://cdn.shopify.com/s/files/1/2045/8185/files/key_lime-containers_large.jpg?v=1535663686
