,Name,Family,Genus,Order,Plant pH,Suitable Soil pH,Placement,Watering Frequency,Region
0,Jasmine,Oleaceae,Jasminum,Lamiales,6.6,4.9-8.3,Outdoor,regularly (2-3 per week),Asia
1,Curcuma caesia,Zingiberaceae,Curcuma,Zingiberales,5.5,4.5-6.5,Outdoor,regularly (2 per week),Asia
2,Curry Tree,Rutaceae,Murraya,Sapindales,5.8,5.6-6.3,Outdoor,regularly (2 per week),Asia
3,Indian gooseberry,Phyllanthaceae,Phyllanthus,Malpighiales,8.0,6.5-9.5,Outdoor,regularly (2-3 per week),Asia
4,Hibiscus,Malvaceae,Hibiscus,Malvales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),Asia
5,Rose apple,Myrtaceae,Syzygium,Myrtales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),Asia
6,Passiflora incarnata (Purple),Passifloraceae,Passiflora,Malpighiales,6.8,6.1-7.5,Outdoor,regularly (1-2 per week),North America
7,White-fleshed pitahaya,Cactaceae,Selenicereus,Caryophyllales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),South America
8,Chrysanthemums,Asteraceae,Chrysanthemum,Asterales,6.0,6.5-7.0,Outdoor,regularly (2-3 per week),Asia
9,Mentha,Mints,Mentha,Lamiales,6.7,6.0-7.5,Outdoor,regularly (2-3 per week),Europe
10,Sapodilla,Sapotaceae,Manilkara,Heathers and allies,7.0,6.0-8.0,Outdoor,regularly (1-2 per week),North America
11,Snake gourd,Cucurbitaceae,Trichosanthes,Cucurbitales,6.5,6.0-7.0,Outdoor,regularly (2-3 per week),Asia
12,Key lime,Rutaceae,Citrus,Sapindales,6.5,5.5-7.5,Outdoor,regularly (2-3 per week),North America
13,Cucumber,Cucurbitaceae,Cucumis,Cucurbitales,7.2,6.0-8.5,Outdoor,regularly (2-3 per week),Asia
14,Trailing arbutus,Ericaceae,Epigaea,Heathers and allies,6.5,6.1-6.8,Outdoor,regularly (2-3 per week),North America
15,Betel,Piperaceae,Pepper plants,Piperales,7.2,5.6-8.2,Outdoor,regularly (2-3 per week),Asia
